web_scraper_order,web_scraper_start_url,container_link,type_habits,prix,adresse,image_lien
"1771103704-1","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/chaussures-homme-5182989","Chaussures homme","25 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5182989_uploaded_image1_1739389601.jpg"
"1771103707-2","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5184001","Vêtements homme","12 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4590100_uploaded_image1_1707744155.jpg"
"1771103709-3","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-5184663","Pantalon  homme","45 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_5206275_uploaded_image1_1740684650.jpg"
"1771103712-4","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/boubous-homme-5186335","Boubous homme","850 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5186335_uploaded_image1_1739567861.jpg"
"1771103714-5","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/costume-5186410","Costume","55 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5246483_uploaded_image1_1742728129.jpg"
"1771103716-6","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/djellaba-pour-homme-5141181","Djellaba pour homme","15 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5141181_uploaded_image1_1737203810.jpg"
"1771103719-7","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/jogging-5190565","Jogging","3 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg"
"1771103721-8","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5192223","Vêtement homme","9 500 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4590100_uploaded_image1_1707744155.jpg"
"1771103724-9","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pulls-collant-5193321","Pulls collant","5 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5193321_uploaded_image1_1739977517.jpg"
"1771103726-10","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/djialabe-5195658","Djialabé","7 000 CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5195658_uploaded_image1_1740079988.jpg"
