type_chaussures;prix;adresse;image_lien
Chaussures Berluti;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4810889_uploaded_image1_1719363126.jpg
Chaussures  Nike portal;25 000 CFA;Dakar, Sénégal;
Sandales;17 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5627951_uploaded_image1_1763472221.jpg
Baskets Asic Cayono;27 000 CFA;Dakar, Sénégal;
Sandales Toga;25 000 CFA;Dakar, Sénégal;
New Balance Fuel cell;28 000 CFA;Dakar, Sénégal;
New Balance Fuel cell;28 000 CFA;Dakar, Sénégal;
Chaussures New Balance;30 000 CFA;Ouest Foire, Dakar, Sénégal;
Chaussures hommes;23 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Sandales orthopédique;10 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5457756_uploaded_image1_1754291875.jpg
Timberlands homme;25 000 CFA;Dakar, Sénégal;
Chaussures Tommy;22 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4424668_uploaded_image1_1697885179.jpg
Chaussures hommes;22 000 CFA;Dakar, Sénégal;
Sandales homme;10 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4851391_uploaded_image1_1721411737.jpg
Chaussures hommes;20 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Air force 1;17 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5656505_uploaded_image1_1764882446.jpg
Chaussures Nike Vomero;25 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5548897_uploaded_image1_1759167093.jpg
Chaussures Jordan 4;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5359849_uploaded_image1_1749031529.jpg
Chaussures Air Jordan one low;17 000 CFA;Dakar, Sénégal;
Chaussures Air Louis vuitton;20 000 CFA;Ouest Foire, Dakar, Sénégal;https://images.coinafrique.com/thumb_4026245_uploaded_image1_1672254649.jpg
Chaussures Nike;28 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771387_uploaded_image1_1770899906.jpg
Chaussures homme;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures Berluti;25 000 CFA;Ouest Foire, Dakar, Sénégal;https://images.coinafrique.com/thumb_4580950_uploaded_image1_1707221652.jpg
Baskets Air force 1;16 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5656488_uploaded_image1_1764881966.jpg
Baskets Air Max scorpion;30 000 CFA;Dakar, Sénégal;
Baskets Dior b22;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5481393_uploaded_image1_1755545600.jpg
Baskets Adidas campus;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5153222_uploaded_image1_1737841616.jpg
Sandales Gucci;17 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_3370900_uploaded_image1_1633508519.jpg
Baskets Jordan 4 Fear;Prix sur demande;Dakar, Sénégal;
Baskets Air Force One Suprême;Prix sur demande;Dakar, Sénégal;
Chaussures homme;Prix sur demande;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5760772_uploaded_image1_1770330772.jpg
Baskets Jordan 1 high;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5109285_uploaded_image1_1735316970.jpg
Baskets Nike M2K Tecno;Prix sur demande;Dakar, Sénégal;
Baskets Nike Kobe 6 Protro;Prix sur demande;Dakar, Sénégal;
Sandales homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5465465_uploaded_image1_1754649693.jpg
Sandales Berluti;17 000 CFA;Dakar, Sénégal;
Original Lavin;25 000 CFA;Dakar, Sénégal;
Sandales Dior;17 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5361106_uploaded_image1_1749079052.jpg
Baskets Air Force 1;18 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5656488_uploaded_image1_1764881966.jpg
Baskets Aire Force One;13 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4106670_uploaded_image1_1677152259.jpg
Crocs;8 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5379657_uploaded_image1_1750203622.jpg
Chaussures New Balance;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771479_uploaded_image1_1770902639.jpg
Baskets New Balance Fuel Cell;27 000 CFA;Dakar, Sénégal;
Basktes New Balance Fuel Cell;27 000 CFA;Dakar, Sénégal;
Baskets Adidas Samba;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5548904_uploaded_image1_1759167399.jpg
Baskets New Balance Fuel Cell;27 000 CFA;Dakar, Sénégal;
Sandales orthopédiques;12 000 CFA;Sacré-Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5403273_uploaded_image1_1751493058.jpg
Baskets Jordan 3;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5548923_uploaded_image1_1759168249.jpg
Baskets Jordan 12;25 000 CFA;Dakar, Sénégal;
Baskets Jordan One;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5365710_uploaded_image1_1749417808.jpg
Baskets Jordan One Low;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_3139227_uploaded_image1_1622245710.jpg
Baskets Nike Zoomx;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_3276882_uploaded_image1_1628788753.jpg
Baskets Nike P6000;27 000 CFA;Dakar, Sénégal;
Baskets Louis Vuitton;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5552643_uploaded_image1_1759323436.jpg
Baskets Adidas Super Star;20 000 CFA;Dakar, Sénégal;
Baskets Timberland;35 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5384805_uploaded_image1_1750461330.jpg
Baskets Air Jordan 1;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_2702362_uploaded_image1_1602990336.jpg
Baskets AF1 / The Nord Face;22 000 CFA;Dakar, Sénégal;
Baskets Louis Vuitton;30 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5552643_uploaded_image1_1759323436.jpg
