web_scraper_order,web_scraper_start_url,map_link,type_habits,prix,adresse,image_lien
"1771111956-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-3438481","Vêtement enfant","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1771111958-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/bonnet-bebe-3446293","Bonnet bébé","1 000 CFA","HLM, Dakar, Sénégal",""
"1771111961-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/culotte-friperie-enfants-3447436","Culotte friperie enfants","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771111963-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-friperie-enfant-3447441","Vêtement friperie enfant","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771111965-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-3453271","Vêtements enfants","Prix sur demande","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1771111968-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-3460197","Vêtement enfant","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1771111970-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-3460815","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1771111972-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-enfant-3460818","Pantalon enfant","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1771111975-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/slip-enfant-3462374","Slip  enfant","7 000 CFA","Dakar, Sénégal",""
"1771111977-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-de-ceremonie-3462842","Robe de cérémonie","25 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771111980-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fille-3467169","Robe fille","25 000 CFA","Dakar, Sénégal",""
"1771111982-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/pull-capuche-enfants-friperie-3468409","Pull capuche enfants friperie","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771111984-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-friperie-3468413","Vêtement enfants friperie","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771111987-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/pull-capuche-enfants-3468416","Pull capuche enfants","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771111990-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-3470013","Ensemble enfants","25 000 CFA","Guediawaye, Dakar, Sénégal",""
"1771112020-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-3472103","Vêtements enfants","15 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1771112055-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fille-3480133","Robe fille","5 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1771112058-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-3483054","Vêtement enfant","5 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1771112060-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-3487929","Ensemble  enfant","6 000 CFA","HLM, Dakar, Sénégal",""
"1771112063-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/collants-enfant-0-a-24-mois-3488219","Collants enfant - 0 à 24 mois","2 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1771112065-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensembles-enfant-3490179","Ensembles enfant","4 000 CFA","HLM, Dakar, Sénégal",""
"1771112068-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-friperie-bebe-3491052","Vêtement friperie bébé","20 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771112070-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-garcon-0-24-mois-3491173","Vêtements garçon 0-24 mois","2 500 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1771112073-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-3491313","Vêtements enfant","1 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1771112075-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/collant-enfant-3492922","Collant enfant","2 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1771112078-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/jeans-enfants-3495990","Jeans enfants","6 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771112080-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-princesse-3495993","Robe princesse","25 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771112083-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-friperie-enfant-3502825","Ensemble friperie enfant","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771112085-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/pull-friperie-enfant-3502826","Pull friperie enfant","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771112112-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-bebe-3512035","Vêtement bébé","5 000 CFA","Guediawaye, Dakar, Sénégal",""
"1771112114-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-garcon-3513877","Ensemble garçon","13 500 CFA","Guediawaye, Dakar, Sénégal",""
"1771112117-32","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-fillette-3516300","Tenue fillette","8 500 CFA","Guediawaye, Dakar, Sénégal",""
"1771112122-33","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/boxer-fille-3516974","Boxer fille","8 000 CFA","Parcelle Assainies, Dakar, Sénégal",""
"1771112126-34","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-enfant-3527122","Pantalon enfant","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771112131-35","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-3534698","Robe","25 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771112133-36","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-3534701","Robe enfant","25 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771112135-37","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-3534704","Robe","25 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771112138-38","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-3536216","Ensemble enfant","Prix sur demande","Colobane, Dakar, Sénégal",""
"1771112141-39","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-3538747","Blouson enfant","7 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771112143-40","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/robe-bebe-crochet-3546633","Robe bébé crochet","10 000 CFA","Dakar, Sénégal",""
"1771112145-41","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/pull-bebe-3546662","Pull bébé","6 000 CFA","Dakar, Sénégal",""
"1771112148-42","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/manteau-fille-3546701","Manteau fille","10 000 CFA","Dakar, Sénégal",""
"1771112150-43","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-mardi-gras-3547360","Vêtement Mardi-gras","20 000 CFA","Dakar, Sénégal",""
"1771112175-44","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-3549957","Vêtement enfant","12 000 CFA","Guediawaye, Dakar, Sénégal",""
"1771112205-45","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-fillette-3549965","Ensemble fillette","8 500 CFA","Guediawaye, Dakar, Sénégal",""
"1771112207-46","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-bebe-3550411","Ensemble pour bébé","18 000 CFA","Keur Massar, Sénégal",""
"1771112210-47","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-3550501","Vêtement enfant","9 900 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1771112221-48","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-bebe-3568689","Vêtement bébé","4 500 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771112223-49","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-tenu-mardi-gras-3582459","Ensemble tenu mardi Gras","20 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
