web_scraper_order,web_scraper_start_url,site_link,type_chaussures,prix,adresse,image_lien
"1771114006-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2085293","Chaussures enfant","1 000 CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1771114008-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2089890","Chaussures enfant","10 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg"
"1771114011-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2107561","Chaussures enfant","15 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1771114016-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2136742","Chaussures enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114018-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-2141792","Claquettes enfants","3 500 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2141792_uploaded_image1_1589925335.jpg"
"1771114020-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2155033","Chaussures enfant","25 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
"1771114023-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2159342","Chaussures enfant","25 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114026-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-bebe-2183732","Chaussures pour bébé","1 500 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2085293_uploaded_image1_1589039358.jpg"
"1771114028-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-2194875","Chaussures pour enfant","15 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5726987_uploaded_image2_1768721889.jpeg"
"1771114030-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/mocassins-enfant-2215961","Mocassins enfant","3 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2215961_uploaded_image1_1591114475.jpg"
"1771114033-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2226808","Chaussures enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114035-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfant-2226824","Claquettes enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2972548_uploaded_image1_1614340301.jpg"
"1771114038-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2232790","Chaussures enfant","8 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114040-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2232803","Chaussures enfant","8 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114071-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2267587","Chaussures enfant","5 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg"
"1771114074-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/bottes-de-pluie-2306870","Bottes de pluie","5 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2306870_uploaded_image1_1592485025.jpg"
"1771114076-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2309224","Chaussures enfant","7 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114078-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussettes-enfants-0-a-12-ans-2309761","Chaussettes enfants 0 à 12 ans","2 000 CFA","Dakar, Sénégal",""
"1771114081-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2325327","Chaussures enfant","7 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114083-20","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2338242","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114086-21","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2338432","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114088-22","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-2342498","Chaussures","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114090-23","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2347318","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114093-24","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2353584","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114095-25","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-2355154","Chaussures bébé","5 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg"
"1771114098-26","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2355164","Chaussures enfants","5 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771114101-27","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2358522","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114103-28","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2358530","Chaussures enfants","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114106-29","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2362995","Chaussures enfants","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
"1771114109-30","https://sn.coinafrique.com/categorie/chaussures-enfants?page=6","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2368592","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg"
